,address_id,place_type_id,room_type_id,number_of_persons_id,number_of_offers,average_rating,max_rating,min_rating
219,159,7,762,1,2,9.45,9.7,9.2
220,159,7,1609,1,2,9.7,9.7,9.7
221,159,7,928,2,2,9.1,9.7,8.5
222,61,7,631,3,2,8.85,9.6,8.1
223,44,7,430,3,2,9.7,9.7,9.7
224,2,7,1150,3,2,9.8,9.8,9.8
225,75,7,309,1,2,8.8,8.8,8.8
226,4,7,762,1,2,9.05,9.2,8.9
227,4,7,498,3,2,9.3,9.3,9.3
228,4,7,394,3,2,9.1,9.2,9.0
229,4,7,928,2,2,9.05,9.2,8.9
230,127,7,507,1,2,9.2,9.2,9.2
231,95,7,956,1,2,9.0,9.0,9.0
232,87,7,1503,1,2,9.9,9.9,9.9
233,87,7,1021,3,2,9.9,9.9,9.9
234,139,7,309,1,2,8.95,9.0,8.9
235,139,7,120,1,2,8.85,9.0,8.7
236,139,7,667,1,2,9.3,9.3,9.3
237,126,7,181,1,2,9.1,9.1,9.1
238,2,11,1150,1,2,9.8,9.8,9.8
239,2,11,1150,2,2,9.8,9.8,9.8
240,4,11,309,1,2,9.25,9.5,9.0
241,162,11,745,4,2,8.0,8.0,8.0
242,58,17,954,1,2,8.4,8.7,8.1
243,60,17,1335,5,2,8.25,8.3,8.2
244,39,17,1373,1,2,8.9,8.9,8.9
245,144,17,1574,2,2,8.7,8.7,8.7
246,144,17,755,6,2,8.2,8.2,8.2
247,139,17,755,3,2,8.65,8.9,8.4
248,151,1,312,3,2,9.4,9.4,9.4
249,27,18,120,1,2,8.3,8.6,8.0
250,68,18,950,1,2,8.0,8.0,8.0
251,68,18,720,2,2,8.0,8.0,8.0
252,142,18,181,1,2,9.05,9.1,9.0
253,142,18,430,3,2,9.6,9.9,9.3
254,83,18,607,1,2,9.7,9.7,9.7
255,83,18,893,1,2,9.7,9.7,9.7
256,83,18,430,1,2,9.7,9.7,9.7
257,83,18,253,1,2,9.7,9.7,9.7
258,83,18,204,0,2,9.6,9.6,9.6
259,21,18,607,1,2,9.1,9.7,8.5
260,60,18,1574,1,2,9.7,9.7,9.7
261,60,18,641,2,2,9.1,9.2,9.0
262,60,18,1462,1,2,9.2,9.8,8.6
263,60,18,762,1,2,8.95,9.1,8.8
264,60,18,430,3,2,9.5,9.8,9.2
265,60,18,1607,2,2,9.4,9.4,9.4
266,60,18,842,2,2,9.05,9.4,8.7
267,60,18,1173,3,2,9.35,9.8,8.9
268,60,18,1379,1,2,9.0,9.0,9.0
269,60,18,394,1,2,9.25,9.4,9.1
270,60,18,394,2,2,9.0,9.1,8.9
271,60,18,90,1,2,8.55,9.1,8.0
272,60,18,1177,1,2,9.0,9.4,8.6
273,60,18,1177,2,2,9.25,9.4,9.1
274,60,18,1498,3,2,9.2,9.3,9.1
275,60,18,23,3,2,9.0,9.1,8.9
276,60,18,1393,1,2,9.6,9.8,9.4
277,60,18,928,2,2,9.05,9.1,9.0
278,60,18,1252,2,2,8.55,8.6,8.5
279,60,18,1021,5,2,9.15,9.4,8.9
280,29,18,796,1,2,9.3,9.3,9.3
281,29,18,631,3,2,8.55,8.6,8.5
282,29,18,1421,1,2,8.95,9.4,8.5
283,29,18,712,1,2,8.55,8.6,8.5
284,29,18,1380,1,2,9.3,9.3,9.3
285,112,18,1659,1,2,9.3,9.3,9.3
286,112,18,696,1,2,9.3,9.3,9.3
287,112,18,1638,1,2,9.3,9.3,9.3
288,18,18,204,0,2,8.9,9.3,8.5
289,18,18,928,2,2,8.6,8.7,8.5
290,74,18,1427,1,2,9.3,9.3,9.3
291,152,18,1257,0,2,8.7,8.7,8.7
292,61,18,893,1,2,9.2,9.2,9.2
293,61,18,882,3,2,9.5,9.5,9.5
294,16,18,893,1,2,9.1,9.1,9.1
295,16,18,1462,1,2,8.9,9.1,8.7
296,30,18,607,1,2,8.5,8.5,8.5
297,139,18,607,1,2,9.2,9.2,9.2
298,132,18,309,1,2,8.6,9.1,8.1
299,132,18,120,1,2,8.6,8.9,8.3
300,132,18,394,2,2,8.0,8.0,8.0
301,132,18,970,2,2,9.0,9.1,8.9
302,132,18,1477,2,2,9.0,9.1,8.9
303,60,9,1222,1,2,8.1,8.1,8.1
304,124,9,309,1,2,9.7,9.7,9.7
305,113,9,25,1,2,8.2,8.2,8.2
306,60,14,1436,0,2,8.7,8.7,8.7
307,60,14,881,0,2,9.0,9.0,9.0
308,60,14,1469,0,2,9.0,9.0,9.0
309,18,14,1243,1,2,9.4,9.4,9.4
310,127,14,309,1,2,9.35,9.5,9.2
311,127,14,122,0,2,9.5,9.5,9.5
312,104,16,1393,1,2,8.4,8.5,8.3
313,158,16,1462,1,2,8.1,8.2,8.0
314,158,16,889,1,2,8.1,8.2,8.0
315,158,16,184,1,2,8.5,8.8,8.2
316,109,16,720,1,2,8.05,8.1,8.0
317,111,16,720,1,2,8.0,8.0,8.0
318,58,16,720,1,2,8.2,8.4,8.0
319,142,16,720,1,2,8.75,9.2,8.3
320,60,16,178,1,2,8.75,9.2,8.3
321,60,16,796,1,2,9.1,9.2,9.0
322,60,16,842,1,2,8.95,9.0,8.9
323,60,16,1636,1,2,8.1,8.1,8.1
324,60,16,712,1,2,8.4,8.7,8.1
325,60,16,38,1,2,8.55,8.9,8.2
326,60,16,594,1,2,8.3,8.6,8.0
327,60,16,23,1,2,8.75,9.2,8.3
328,60,16,928,2,2,8.15,8.3,8.0
329,60,16,737,1,2,8.2,8.3,8.1
330,18,16,1178,1,2,8.55,8.7,8.4
331,18,16,1288,1,2,9.2,9.2,9.2
332,18,16,888,1,2,8.55,8.7,8.4
333,18,16,882,3,2,8.25,8.5,8.0
334,18,16,204,0,2,8.35,8.7,8.0
335,18,16,712,1,2,8.95,9.5,8.4
336,18,16,1427,1,2,8.65,8.8,8.5
337,61,16,309,1,2,8.3,8.3,8.3
338,61,16,882,3,2,8.3,8.3,8.3
339,61,16,928,2,2,8.3,8.3,8.3
340,5,16,120,1,2,9.15,9.3,9.0
341,105,16,309,1,2,9.0,9.5,8.5
342,122,16,1559,0,2,8.95,9.0,8.9
343,144,16,318,1,2,8.35,8.5,8.2
344,144,16,882,3,2,8.4,8.7,8.1
345,144,16,1669,3,2,8.45,8.6,8.3
346,144,16,326,1,2,8.2,8.2,8.2
347,144,16,928,2,2,8.4,8.7,8.1
348,134,16,1078,2,2,8.4,8.4,8.4
349,139,16,951,1,2,8.9,8.9,8.9
350,139,16,819,2,2,8.25,8.4,8.1
351,139,16,1380,1,2,8.4,8.5,8.3
352,139,16,737,1,2,8.3,8.5,8.1
353,126,16,309,1,2,8.3,8.3,8.3
354,132,16,430,3,2,9.45,9.7,9.2
355,132,16,1393,1,2,8.75,9.2,8.3
356,132,16,1477,2,2,8.5,8.7,8.3
357,24,16,204,0,2,8.4,8.5,8.3
358,57,0,1503,2,2,9.0,9.0,9.0
359,143,12,1150,1,2,9.8,9.8,9.8
360,56,12,1150,1,2,9.6,9.6,9.6
361,104,3,309,1,2,8.8,9.4,8.2
362,104,3,394,1,2,9.25,9.4,9.1
363,104,3,931,3,2,8.2,8.2,8.2
364,3,3,309,1,2,8.9,8.9,8.9
365,142,3,1499,0,2,9.35,9.4,9.3
366,142,3,796,1,2,9.0,9.3,8.7
367,142,3,438,1,2,8.8,8.8,8.8
368,142,3,692,1,2,9.25,9.3,9.2
369,142,3,902,2,2,9.5,9.5,9.5
370,142,3,882,3,2,9.4,9.4,9.4
371,142,3,120,1,2,8.8,9.1,8.5
372,142,3,1569,2,2,9.0,9.0,9.0
373,142,3,1380,1,2,9.2,9.5,8.9
374,142,3,928,2,2,8.95,9.5,8.4
375,83,3,607,2,2,9.3,9.3,9.3
376,83,3,762,3,2,8.75,8.8,8.7
377,82,3,720,3,2,9.1,9.1,9.1
378,21,3,23,1,2,9.4,9.4,9.4
379,60,3,592,1,2,9.25,9.5,9.0
380,60,3,821,1,2,8.45,8.5,8.4
381,60,3,1374,1,2,8.85,9.5,8.2
382,60,3,644,3,2,8.85,9.4,8.3
383,60,3,422,2,2,8.3,8.3,8.3
384,60,3,1166,3,2,8.3,8.3,8.3
385,60,3,508,2,2,9.05,9.2,8.9
386,60,3,404,1,2,8.8,8.8,8.8
387,60,3,1125,2,2,8.45,8.9,8.0
388,60,3,778,2,2,9.6,9.7,9.5
389,60,3,555,1,2,9.5,9.6,9.4
390,60,3,402,1,2,9.55,9.7,9.4
391,60,3,465,16,2,9.25,9.6,8.9
392,60,3,430,1,2,9.5,9.8,9.2
393,60,3,66,3,2,9.1,9.2,9.0
394,60,3,1299,2,2,8.75,9.1,8.4
395,60,3,1222,1,2,9.5,9.5,9.5
396,60,3,770,1,2,8.55,9.1,8.0
397,60,3,643,1,2,9.3,9.3,9.3
398,60,3,739,1,2,9.25,9.4,9.1
399,60,3,1569,1,2,9.4,9.5,9.3
400,60,3,948,1,2,8.65,8.8,8.5
401,60,3,1177,1,2,9.0,9.1,8.9
402,60,3,1498,3,2,8.85,8.9,8.8
403,60,3,1168,1,2,9.3,9.5,9.1
404,60,3,1021,2,2,9.2,9.4,9.0
405,97,3,607,1,2,9.3,9.5,9.1
406,97,3,1427,1,2,9.3,9.5,9.1
407,29,3,253,2,2,9.3,9.3,9.3
408,45,3,120,1,2,9.1,9.1,9.1
409,45,3,394,1,2,9.1,9.1,9.1
410,45,3,1128,1,2,9.1,9.1,9.1
411,159,3,475,3,2,9.2,9.3,9.1
412,18,3,607,1,2,8.95,9.4,8.5
413,18,3,607,2,2,8.5,8.5,8.5
414,18,3,1659,1,2,9.35,9.4,9.3
415,18,3,762,1,2,8.85,9.6,8.1
416,18,3,430,3,2,8.95,9.0,8.9
417,18,3,720,1,2,9.2,9.4,9.0
418,18,3,720,2,2,9.3,9.6,9.0
419,18,3,1421,1,2,8.5,8.5,8.5
420,18,3,1078,1,2,8.5,8.5,8.5
421,18,3,1270,1,2,8.7,9.0,8.4
422,105,3,1659,1,2,8.3,8.3,8.3
